"Species","syndrome","Country","Year","variable","n","rate_r","Prop_Syn","Dataset"
"Bacteroides fragilis","sep","Czech Republic",2017,"Carbapenems",1,0,0.07,"ATLAS"
"Bacteroides fragilis","sep","Belgium",2017,"Carbapenems",2,0,0.07,"ATLAS"
"Bacteroides fragilis","sep","Czech Republic",2017,"Meropenem",1,0,0.07,"ATLAS"
"Bacteroides fragilis","sep","Germany",2017,"Carbapenems",3,0.333333333333333,0.07,"ATLAS"
"Bacteroides fragilis","sep","Germany",2017,"Clindamycin",3,0.666666666666667,0.07,"ATLAS"
"Bacteroides fragilis","sep","Belgium",2017,"Clindamycin",2,0.5,0.07,"ATLAS"
"Bacteroides fragilis","sep","Czech Republic",2017,"Clindamycin",1,0,0.07,"ATLAS"
"Bacteroides fragilis","sep","Belgium",2017,"Meropenem",2,0,0.07,"ATLAS"
"Bacteroides fragilis","sep","Germany",2017,"Meropenem",3,0.333333333333333,0.07,"ATLAS"
"Enterobacter cloacae","c.uti","Pakistan",2017,"Aminopenicillins",3,1,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Croatia",2017,"Cephalosporins",5,1,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Chile",2017,"Aminopenicillins",3,1,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Romania",2017,"Amoxicillin",5,1,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Croatia",2017,"Levofloxacin",5,0.6,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Pakistan",2017,"Carbapenems",3,0,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Greece",2017,"Meropenem",13,0.0769230769230769,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","South Africa",2017,"Meropenem",3,0,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Romania",2017,"Meropenem",5,0.2,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Greece",2017,"Cephalosporins",13,0.307692307692308,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","South Africa",2017,"Fluoroquinolones",3,0,0.01,"ATLAS"
"Enterobacter cloacae","c.uti","Chile",2017,"Levofloxacin",3,0,0.01,"ATLAS"
