"ï..Antibiotic","Country","X..non.susceptibles","Intermediate","Nonsusceptible","tested","Pathogen","Resistant","SPECIMEN..Sample.","Susceptible"
"Cefepime","Thailand","40%",0,0,15,"Klebsiella pneumoniae",6,"blood",9
"Cefoxitin","Thailand","65%",0,0,20,"Staphylococcus aureus",13,"blood",7
"Gentamicin","Thailand","55%",0,0,11,"Acinetobacter spp.",6,"blood",5
"Imipenem","Thailand","100%",0,0,10,"Acinetobacter spp.",10,"blood",0
"Imipenem","Thailand","67%",0,0,9,"Escherichia coli",6,"blood",3
"Imipenem","Thailand","33%",0,0,3,"Klebsiella pneumoniae",1,"blood",2
"Cephalosporins","Thailand","67%",0,0,9,"Escherichia coli",6,"blood",3
"Cephalosporins","Thailand","33%",0,0,3,"Klebsiella pneumoniae",1,"blood",2
"Cephalosporins","Thailand","0%",0,0,1,"Streptococcus pneumoniae",0,"blood",1
"Carbapenems","Thailand","",0,0,0,"Acinetobacter spp.",0,"blood",0
"Carbapenems","Thailand","75%",0,0,8,"Escherichia coli",6,"blood",2
"Carbapenems","Thailand","67%",1,0,3,"Klebsiella pneumoniae",1,"blood",1
"Fluoroquinolones","Thailand","40%",0,0,5,"Escherichia coli",2,"blood",3
"Fluoroquinolones","Thailand","100%",1,0,1,"Klebsiella pneumoniae",0,"blood",0
"Levofloxacin","Thailand","",0,0,0,"Escherichia coli",0,"blood",0
"Levofloxacin","Thailand","0%",0,0,1,"Klebsiella pneumoniae",0,"blood",1
"Meropenem","Thailand","",0,0,0,"Acinetobacter spp.",0,"blood",0
"Meropenem","Thailand","60%",1,0,10,"Escherichia coli",5,"blood",4
"Meropenem","Thailand","50%",1,0,2,"Klebsiella pneumoniae",0,"blood",1
"Oxacillin","Thailand","0%",0,0,9,"Streptococcus pneumoniae",0,"blood",9
"Penicillin G","Thailand","0%",0,0,3,"Streptococcus pneumoniae",0,"blood",3
"Co-trimoxazole","Thailand","60%",0,0,10,"Escherichia coli",6,"blood",4
"Co-trimoxazole","Thailand","67%",1,0,3,"Klebsiella pneumoniae",1,"blood",1
"Co-trimoxazole","Thailand","0%",0,0,10,"Streptococcus pneumoniae",0,"blood",10
"Tigecycline","Thailand","0%",0,0,3,"Acinetobacter spp.",0,"blood",3
"Amikacin","Thailand","67%",0,0,9,"Acinetobacter spp.",6,"blood",3
"Ampicillin","Thailand","33%",0,0,3,"Escherichia coli",1,"blood",2
"Ceftazidime","Thailand","40%",0,0,5,"Escherichia coli",2,"blood",3
"Ceftazidime","Thailand","",0,0,0,"Klebsiella pneumoniae",0,"blood",0
"Ciprofloxacin","Thailand","0%",0,0,9,"Escherichia coli",0,"blood",9
"Ciprofloxacin","Thailand","0%",0,0,3,"Klebsiella pneumoniae",0,"blood",3
"Colistin","Thailand","50%",0,0,8,"Acinetobacter spp.",4,"blood",4
"Colistin","Thailand","100%",1,0,2,"Escherichia coli",1,"blood",0
"Colistin","Thailand","67%",2,0,238,"Klebsiella pneumoniae",158,"blood",78
"Ceftriaxone","Thailand","34%",20,0,244,"Escherichia coli",64,"blood",160
"Ceftriaxone","Thailand","29%",4,0,86,"Klebsiella pneumoniae",21,"blood",61
"Cefotaxime","Thailand","34%",0,0,245,"Escherichia coli",83,"blood",162
"Cefotaxime","Thailand","21%",1,0,86,"Klebsiella pneumoniae",17,"blood",68
"Doripenem","Thailand","25%",0,0,16,"Acinetobacter spp.",4,"blood",12
"Doripenem","Thailand","46%",0,0,13,"Escherichia coli",6,"blood",7
"Doripenem","Thailand","31%",2,0,227,"Klebsiella pneumoniae",68,"blood",157
"Ertapenem","Thailand","27%",0,0,77,"Escherichia coli",21,"blood",56
