syndrome,Age,First.line.1st.drug,First.line.2nd.drug,d1.3,d1.4,d1.5,Second.line.1st.drug,Second.line.2nd.drug,d2.3,d2.4,d2.5,Third.line.1st.drug,d3.2,d3.3,d3.4,d3.5
sep,adult,Aminopenicillins,Aminoglycosides,NA,NA,NA,Cephalosporins,Aminoglycosides,NA,NA,NA,Carbapenems,NA,NA,NA,NA
sep,child,Aminopenicillins,Aminoglycosides,NA,NA,NA,Cephalosporins,Aminoglycosides,NA,NA,NA,Carbapenems,NA,NA,NA,NA
sep,infant,Aminopenicillins,Aminoglycosides,NA,NA,NA,Cephalosporins,Aminoglycosides,NA,NA,NA,Carbapenems,NA,NA,NA,NA
urti,adult,Cefalexin,,NA,NA,NA,Co-amoxiclav,,NA,NA,NA,Fluoroquinolones,NA,NA,NA,NA
urti,child,Cefalexin,,NA,NA,NA,Co-amoxiclav,,NA,NA,NA,Carbapenems,NA,NA,NA,NA
urti,infant,Cefalexin,,NA,NA,NA,Co-amoxiclav,,NA,NA,NA,Carbapenems,NA,NA,NA,NA
cap,adult,Aminopenicillins,Macrolides,NA,NA,NA,Co-amoxiclav,Macrolides,NA,NA,NA,Fluoroquinolones,NA,NA,NA,NA
cap,child,Aminopenicillins,,NA,NA,NA,Co-amoxiclav,,NA,NA,NA,Fluoroquinolones,NA,NA,NA,NA
cap,infant,Aminopenicillins,,NA,NA,NA,Co-amoxiclav,,NA,NA,NA,Fluoroquinolones,NA,NA,NA,NA
hap,adult,Co-amoxiclav,,NA,NA,NA,Cephalosporins,Aminoglycosides,NA,NA,NA,Carbapenems,NA,NA,NA,NA
hap,child,Co-amoxiclav,,NA,NA,NA,Cephalosporins,Aminoglycosides,NA,NA,NA,Carbapenems,NA,NA,NA,NA
hap,infant,Co-amoxiclav,,NA,NA,NA,Cephalosporins,Aminoglycosides,NA,NA,NA,Carbapenems,NA,NA,NA,NA
skin,adult,Penicillins,,NA,NA,NA,Lincosamides,,NA,NA,NA,Vancomycin,NA,NA,NA,NA
skin,child,Penicillins,,NA,NA,NA,Lincosamides,,NA,NA,NA,Vancomycin,NA,NA,NA,NA
skin,infant,Penicillins,,NA,NA,NA,Lincosamides,,NA,NA,NA,Vancomycin,NA,NA,NA,NA
puc,adult,Cephalosporins,,NA,NA,NA,Macrolides,,NA,NA,NA,Carbapenems,NA,NA,NA,NA
puc,child,Cephalosporins,,NA,NA,NA,Macrolides,,NA,NA,NA,Carbapenems,NA,NA,NA,NA
puc,infant,,,NA,NA,NA,,,NA,NA,NA,,NA,NA,NA,NA
c.uti,adult,Trimethoprim sulfa,,NA,NA,NA,Nitrofurantoin,,NA,NA,NA,Fosfomycin,NA,NA,NA,NA
c.uti,child,Trimethoprim sulfa,,NA,NA,NA,Nitrofurantoin,,NA,NA,NA,Fosfomycin,NA,NA,NA,NA
c.uti,infant,Trimethoprim sulfa,,NA,NA,NA,Nitrofurantoin,,NA,NA,NA,Fosfomycin,NA,NA,NA,NA
meng,adult,Penicillins,Aminoglycosides,NA,NA,NA,Cephalosporins,Aminoglycosides,NA,NA,NA,Carbapenems,NA,NA,NA,NA
meng,child,Penicillins,Aminoglycosides,NA,NA,NA,Cephalosporins,Aminoglycosides,NA,NA,NA,Carbapenems,NA,NA,NA,NA
meng,infant,Penicillins,Aminoglycosides,NA,NA,NA,Cephalosporins,Aminoglycosides,NA,NA,NA,Carbapenems,NA,NA,NA,NA
sepa,adult,Penicillins,,NA,NA,NA,Lincosamides,,NA,NA,NA,Vancomycin,NA,NA,NA,NA
sepa,child,Penicillins,,NA,NA,NA,Lincosamides,,NA,NA,NA,Vancomycin,NA,NA,NA,NA
sepa,infant,Penicillins,,NA,NA,NA,Lincosamides,,NA,NA,NA,Vancomycin,NA,NA,NA,NA
